unitid,institution name,year,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Historically Black College or University,DRVC2019.Associate's degree,DRVC2019.Bachelor's degree,DRVC2019.Master's degree,DRVC2019.Doctor's degree - research/scholarship,DRVC2019.Doctor's degree - professional practice,DRVC2019.Doctor's degree - other,DRVC2019.Certificates of less than 1-year,DRVC2019.Certificates of 1 but less than 2-years,DRVC2019.Certificates of 2 but less than 4-years,DRVC2019.Postbaccalaureate certificates,DRVC2019.Post-master's certificates,DRVC2019.Number of students receiving an Associate's degree,DRVC2019.Number of students receiving a Bachelor's degree,DRVC2019.Number of students receiving a Master's degree,DRVC2019.Number of students receiving a Doctor's degree,DRVC2019.Number of students receiving a certificate of less than 1-year,DRVC2019.Number of students receiving a certificate of 1 but less than 4-years,DRVC2019.Number of students receiving a Postbaccalaureate or Post-master's certificate
168421,Worcester Polytechnic Institute,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,1019,791,60,0,0,0,0,0,67,0,0,1019,791,60,0,0,67
493707,Yeshiva Gedolah of Woodlake Village,2019,New Jersey,"Private not-for-profit, 4-year or above",No,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
232016,Centura College-Virginia Beach,2019,Virginia,"Private for-profit, 4-year or above",No,55,6,0,0,0,0,8,11,0,0,0,55,6,0,0,8,11,0
230889,Goddard College,2019,Vermont,"Private not-for-profit, 4-year or above",No,0,64,109,0,0,0,0,0,0,0,0,0,64,109,0,0,0,0
484923,Dermal Science International Aesthetics and Nail Academy,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,114,0,0,,,0,,,,114,0,
452887,Elite Welding Academy LLC,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,94,0,,,0,,,,0,94,
237321,Clarksburg Beauty Academy and School of Massage Therapy,2019,West Virginia,"Private for-profit, 2-year",No,0,,,,,,16,0,10,,,0,,,,16,10,
203748,Lorain County Community College,2019,Ohio,"Public, 4-year or above",No,1592,0,0,0,0,0,430,261,0,0,0,1441,0,0,0,405,242,0
217323,New England Tractor Trailer Training School of Rhode Island,2019,Rhode Island,"Private for-profit, less-than 2-year",No,0,,,,,,367,60,0,,,0,,,,367,60,
491640,Yeshiva Gedolah Keren Hatorah,2019,New Jersey,"Private not-for-profit, 4-year or above",No,21,2,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0
130873,Dawn Career Institute LLC,2019,Delaware,"Private for-profit, less-than 2-year",No,0,,,,,,284,0,0,,,0,,,,284,0,
164599,Bancroft School of Massage Therapy,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,26,0,0,,,0,,,,26,0,
487524,Husson University,2019,Maine,"Private not-for-profit, 4-year or above",No,18,500,289,0,78,0,71,0,0,1,0,18,491,288,78,49,0,1
162104,Cecil College,2019,Maryland,"Public, 2-year",No,363,,,,,,75,22,0,,,292,,,,55,19,
245892,Antioch University-Midwest,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,34,43,0,0,0,0,0,0,12,0,0,34,43,0,0,0,12
183026,Southern New Hampshire University,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,2319,10893,6797,14,0,0,109,0,0,261,6,2319,10887,6794,14,109,0,265
438805,Branford Hall Career Institute-Springfield Campus,2019,Massachusetts,"Private for-profit, less-than 2-year",No,,,,,,,,,,,,,,,,,,
185332,Harris School of Business-Voorhees Campus,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,113,89,0,,,0,,,,113,89,
203234,Ross Medical Education Center-Cincinnati,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,117,0,,,0,,,,0,117,
167996,Stonehill College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,621,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0
183983,Adult and Continuing Education-BCTS,2019,New Jersey,"Public, less-than 2-year",No,0,,,,,,20,24,0,,,0,,,,20,24,
161457,University of New England,2019,Maine,"Private not-for-profit, 4-year or above",No,0,511,783,85,390,0,0,0,0,8,71,0,511,783,475,0,0,79
165556,Lincoln Technical Institute-Somerville,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,187,0,,,0,,,,0,187,
407489,Mahoning County Career and Technical Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,85,17,0,,,0,,,,85,17,
201469,Bryant & Stratton College-Parma,2019,Ohio,"Private for-profit, 4-year or above",No,198,27,0,0,0,0,0,27,0,0,0,195,27,0,0,0,27,0
182704,Empire Beauty School-Laconia,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,21,16,0,,,0,,,,21,16,
230977,New England Culinary Institute,2019,Vermont,"Private for-profit, 4-year or above",No,23,34,0,0,0,0,0,4,0,0,0,23,34,0,0,0,4,0
165167,Cambridge College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,186,593,2,0,0,1,0,0,17,39,0,186,593,2,1,0,56
201034,Apollo Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,541,68,0,,,0,,,,530,67,
232885,Sentara College of Health Sciences,2019,Virginia,"Private not-for-profit, 4-year or above",No,29,156,0,0,0,0,0,0,0,0,0,29,156,0,0,0,0,0
233897,The University of Virginia's College at Wise,2019,Virginia,"Public, 4-year or above",No,0,258,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0
383279,Robert Fiance Beauty Schools-North Plainfield,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,31,53,0,,,0,,,,31,53,
441548,Institute for Therapeutic Massage,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,52,0,0,,,0,,,,47,0,
481207,Institute of Health Sciences,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,81,0,,,0,,,,0,81,
445762,Aviation Institute of Maintenance-Manassas,2019,Virginia,"Private for-profit, 2-year",No,0,,,,,,0,0,63,,,0,,,,0,63,
231651,Regent University,2019,Virginia,"Private not-for-profit, 4-year or above",No,31,705,994,185,170,0,0,0,0,48,82,31,703,989,355,0,0,130
488262,Hair Academy School of Barbering & Beauty,2019,Delaware,"Private for-profit, less-than 2-year",No,0,,,,,,1,25,0,,,0,,,,1,25,
185651,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,2019,New Jersey,"Private not-for-profit, 2-year",No,,,,,,,,,,,,,,,,,,
183938,Camden County College,2019,New Jersey,"Public, 2-year",No,1172,,,,,,63,339,0,,,1140,,,,61,338,
131159,American University,2019,District of Columbia,"Private not-for-profit, 4-year or above",No,0,1776,1915,48,407,0,103,1,0,66,0,0,1745,1912,455,98,1,63
445656,Spa Tech Institute-Plymouth,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,143,0,0,,,0,,,,143,0,
237570,Morgantown Beauty College Inc,2019,West Virginia,"Private for-profit, 2-year",No,0,,,,,,30,0,28,,,0,,,,30,28,
442639,University of the Potomac-VA Campus,2019,Virginia,"Private for-profit, 4-year or above",No,2,16,118,0,0,0,0,0,0,0,0,2,16,118,0,0,0,0
183202,Paul Mitchell the School-Portsmouth,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,0,22,0,,,0,,,,0,22,
165699,Endicott College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,20,799,497,9,0,0,8,0,0,2,13,20,799,497,9,8,0,15
162690,Hagerstown Community College,2019,Maryland,"Public, 2-year",No,570,,,,,,131,66,0,,,543,,,,128,66,
413176,Fayette Institute of Technology,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,0,30,0,,,0,,,,0,30,
482705,Northeastern University Lifelong Learning Network,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,581,2582,0,81,237,0,0,0,0,7,0,581,2582,318,0,0,7
166939,Mount Holyoke College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,538,67,0,0,0,0,0,0,0,0,0,538,67,0,0,0,0
201821,The Christ College of Nursing and Health Sciences,2019,Ohio,"Private not-for-profit, 4-year or above",No,74,242,0,0,0,0,0,0,0,0,0,74,242,0,0,0,0,0
161022,Maine College of Health Professions,2019,Maine,"Private not-for-profit, 4-year or above",No,72,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
449931,Averett University-Non-Traditional Programs,2019,Virginia,"Private not-for-profit, 4-year or above",No,8,114,116,0,0,0,0,0,0,0,0,8,114,116,0,0,0,0
443641,Paul Mitchell the School-Rhode Island,2019,Rhode Island,"Private for-profit, less-than 2-year",No,0,,,,,,0,78,0,,,0,,,,0,78,
204422,North Central State College,2019,Ohio,"Public, 4-year or above",No,378,0,0,0,0,0,117,77,0,0,0,377,0,0,0,104,76,0
441876,Rudy & Kelly Academy-A Paul Mitchell Partner School,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,95,0,,,0,,,,0,95,
167534,Quinsigamond Community College,2019,Massachusetts,"Public, 2-year",No,937,,,,,,307,144,0,,,937,,,,307,144,
460118,Ross Medical Education Center-Niles,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,112,0,,,0,,,,0,112,
488314,Beth Medrash of Asbury Park,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
231536,Blue Ridge Community College,2019,Virginia,"Public, 2-year",No,493,,,,,,255,290,1,,,491,,,,226,282,
434830,Creative Images Institute of Cosmetology-North Dayton,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,44,103,2,,,0,,,,44,105,
460349,Johnson & Wales University-Online,2019,Rhode Island,"Private not-for-profit, 4-year or above",No,0,182,209,0,0,0,0,0,0,0,0,0,182,209,0,0,0,0
161493,Empire Beauty School-Maine,2019,Maine,"Private for-profit, less-than 2-year",No,0,,,,,,5,84,0,,,0,,,,5,84,
204866,Ohio University-Zanesville Campus,2019,Ohio,"Public, 4-year or above",No,86,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
232937,Norfolk State University,2019,Virginia,"Public, 4-year or above",Yes,3,612,177,10,0,0,0,0,0,0,0,3,612,177,10,0,0,0
446303,Healthcare Training Institute,2019,New Jersey,"Private for-profit, 2-year",No,0,,,,,,106,2,22,,,0,,,,100,24,
162928,Johns Hopkins University,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,1389,6673,537,146,0,0,0,1,816,86,0,1381,6601,683,0,1,815
164492,Anna Maria College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,250,149,0,0,0,0,0,0,0,8,0,250,149,0,0,0,8
166391,Lasell University,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,415,182,0,0,0,0,0,0,0,0,0,414,182,0,0,0,0
202763,The University of Findlay,2019,Ohio,"Private not-for-profit, 4-year or above",No,37,537,363,14,127,0,0,0,0,0,0,37,537,363,132,0,0,0
204334,National Beauty College,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,34,37,0,,,0,,,,34,37,
490753,Maine Media College,2019,Maine,"Private not-for-profit, 4-year or above",No,0,0,5,0,0,0,0,2,0,0,0,0,0,5,0,0,2,0
483780,IGlobal University,2019,Virginia,"Private for-profit, 4-year or above",No,0,24,177,0,0,0,0,0,0,0,0,0,24,177,0,0,0,0
205391,The Modern College of Design,2019,Ohio,"Private for-profit, 4-year or above",No,80,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
230834,Castleton University,2019,Vermont,"Public, 4-year or above",No,8,360,33,0,0,0,0,0,0,0,2,8,360,33,0,0,0,2
202073,Cleveland Institute of Music,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,50,53,0,0,5,0,0,0,14,0,0,50,53,5,0,0,14
451909,Fortis College-Landover,2019,Maryland,"Private for-profit, 2-year",No,,,,,,,,,,,,,,,,,,
200846,University of Akron Wayne College,2019,Ohio,"Public, 2-year",No,63,,,,,,36,0,0,,,63,,,,35,0,
233338,Richard Bland College,2019,Virginia,"Public, 2-year",No,231,,,,,,9,13,0,,,231,,,,9,13,
185129,New Jersey City University,2019,New Jersey,"Public, 4-year or above",No,0,1295,424,20,0,0,0,0,0,0,12,0,1295,424,20,0,0,12
201441,Bowling Green State University-Main Campus,2019,Ohio,"Public, 4-year or above",No,0,3008,908,73,0,0,113,0,0,92,8,0,2991,906,73,113,0,99
203960,Mercy College of Ohio,2019,Ohio,"Private not-for-profit, 4-year or above",No,193,211,0,0,0,0,33,2,0,0,0,193,211,0,0,33,2,0
388663,Inner State Beauty School,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,57,0,14,,,0,,,,57,14,
231697,Central Virginia Community College,2019,Virginia,"Public, 2-year",No,443,,,,,,451,350,24,,,441,,,,348,374,
161341,University of Maine at Presque Isle,2019,Maine,"Public, 4-year or above",No,28,147,0,0,0,0,3,0,0,0,0,28,147,0,0,3,0,0
206525,Wittenberg University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,363,10,0,0,0,0,0,0,0,0,0,363,10,0,0,0,0
166683,Massachusetts Institute of Technology,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,1142,1850,687,0,0,0,0,0,0,0,0,1142,1760,687,0,0,0
201061,Art Academy of Cincinnati,2019,Ohio,"Private not-for-profit, 4-year or above",No,3,43,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0,0
203942,Medina County Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,29,7,0,,,0,,,,29,7,
436599,FINE Mortuary College,2019,Massachusetts,"Private for-profit, 2-year",No,31,,,,,,0,0,0,,,31,,,,0,0,
442213,Birthwise Midwifery School,2019,Maine,"Private for-profit, 2-year",No,0,,,,,,0,0,13,,,0,,,,0,13,
164924,Boston College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,2339,1370,137,245,0,0,0,0,0,4,0,2339,1333,382,0,0,4
480693,Columbia Institute,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,20,90,0,,,0,,,,20,90,
204617,Ohio Dominican University,2019,Ohio,"Private not-for-profit, 4-year or above",No,19,237,198,0,0,0,2,0,0,0,0,19,237,198,0,2,0,0
201432,Bowling Green State University-Firelands,2019,Ohio,"Public, 4-year or above",No,224,0,0,0,0,0,0,1,0,0,0,201,0,0,0,0,1,0
492005,Elite Academy of Hair Design,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,3,12,0,,,0,,,,3,12,
166018,Hampshire College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,288,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0
166498,Lowell Academy Hairstyling Institute,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,44,0,,,0,,,,0,44,
451477,MyComputerCareer.edu-Columbus,2019,Ohio,"Private for-profit, 2-year",No,4,,,,,,1040,0,0,,,4,,,,1001,0,
458113,Bethel College,2019,Virginia,"Private not-for-profit, 4-year or above",No,2,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
165060,Signature Healthcare Brockton Hospital School of Nursing,2019,Massachusetts,"Private not-for-profit, 2-year",No,0,,,,,,0,0,79,,,0,,,,0,79,
131973,Wesley Theological Seminary,2019,District of Columbia,"Private not-for-profit, 4-year or above",No,0,0,72,0,79,0,0,0,0,0,0,0,0,72,79,0,0,0
237844,Fred W Eberle Technical Center,2019,West Virginia,"Public, 2-year",No,0,,,,,,64,42,5,,,0,,,,62,47,
130396,Gateway Community College,2019,Connecticut,"Public, 2-year",No,666,,,,,,204,13,0,,,652,,,,182,13,
217475,Community College of Rhode Island,2019,Rhode Island,"Public, 2-year",No,1988,,,,,,140,63,20,,,1988,,,,140,83,
409616,Roger Williams University School of Law,2019,Rhode Island,"Private not-for-profit, 4-year or above",No,0,0,2,0,134,0,0,0,0,0,0,0,0,2,134,0,0,0
449922,Appalachian College of Pharmacy,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,0,0,0,63,0,0,0,0,0,0,0,0,0,63,0,0,0
460376,Virginia International University,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,15,112,0,0,0,1,0,0,3,0,0,15,112,0,1,0,3
433138,Wayne County Schools Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,30,53,0,,,0,,,,30,53,
200873,Allegheny Wesleyan College,2019,Ohio,"Private not-for-profit, 4-year or above",No,3,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
203544,Kettering College,2019,Ohio,"Private not-for-profit, 4-year or above",No,42,144,54,0,28,0,2,0,0,0,0,42,144,54,28,2,0,0
183804,Beth Medrash Govoha,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,465,489,0,0,0,0,0,0,0,333,0,465,489,0,0,0,333
481447,Rizzieri Institute,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,29,0,0,,,0,,,,29,0,
407461,Eastland-Fairfield Career and Technical Schools,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,34,52,0,,,0,,,,34,52,
206172,Tri-County Adult Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,56,14,8,,,0,,,,56,22,
184782,Rowan University,2019,New Jersey,"Public, 4-year or above",No,0,3684,519,27,231,0,0,0,0,0,27,0,3490,518,258,0,0,27
433101,Lincoln Technical Institute-Lincoln,2019,Rhode Island,"Private for-profit, less-than 2-year",No,0,,,,,,44,325,0,,,0,,,,44,325,
201928,Cincinnati State Technical and Community College,2019,Ohio,"Public, 2-year",No,1132,,,,,,296,269,0,,,1105,,,,276,260,
436818,University of Connecticut-Waterbury Campus,2019,Connecticut,"Public, 4-year or above",No,0,57,19,4,4,0,0,0,0,4,1,0,55,19,7,0,0,4
407577,Scioto County Career Technical Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,25,96,0,,,0,,,,25,96,
186283,Rider University,2019,New Jersey,"Private not-for-profit, 4-year or above",No,6,854,347,0,0,0,0,0,0,135,21,6,851,346,0,0,0,139
237358,Davis & Elkins College,2019,West Virginia,"Private not-for-profit, 4-year or above",No,36,123,0,0,0,0,0,0,0,0,0,35,123,0,0,0,0,0
485032,Paul Mitchell the School-Toledo,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,80,0,,,0,,,,0,80,
161086,Colby College,2019,Maine,"Private not-for-profit, 4-year or above",No,0,462,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0
461379,Holistic Massage Training Institute,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,33,0,0,,,0,,,,33,0,
201654,Cedarville University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,721,74,0,34,0,0,1,0,0,3,0,721,74,34,0,1,3
130837,Margaret H Rollins School of Nursing at Beebe Medical Center,2019,Delaware,"Private not-for-profit, 2-year",No,0,,,,,,0,0,21,,,0,,,,0,21,
232052,Eastern Shore Community College,2019,Virginia,"Public, 2-year",No,37,,,,,,31,63,0,,,37,,,,29,63,
186399,Rutgers University-Newark,2019,New Jersey,"Public, 4-year or above",No,0,1775,1249,69,224,0,0,0,0,0,0,0,1775,1249,293,0,0,0
475024,Fortis Institute-Lawrenceville,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,0,172,0,,,0,,,,0,172,
186645,Raritan Valley Community College,2019,New Jersey,"Public, 2-year",No,1132,,,,,,26,74,0,,,1096,,,,25,74,
168227,Wentworth Institute of Technology,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,10,902,101,0,0,0,5,0,0,0,0,10,902,101,0,5,0,0
232423,James Madison University,2019,Virginia,"Public, 4-year or above",No,0,4495,716,14,23,0,0,0,0,19,10,0,4456,716,37,0,0,29
186122,Princeton Theological Seminary,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,0,177,9,0,0,0,0,0,0,0,0,0,164,9,0,0,0
164216,Washington College,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,317,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0
481030,Future Generations University,2019,West Virginia,"Private not-for-profit, 4-year or above",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161509,Maine College of Art,2019,Maine,"Private not-for-profit, 4-year or above",No,0,73,29,0,0,0,0,0,0,29,0,0,73,29,0,0,0,29
231837,Radford University-Carilion,2019,Virginia,"Public, 4-year or above",No,52,255,102,0,0,8,0,0,0,0,0,52,255,102,8,0,0,0
231688,Central School of Practical Nursing,2019,Virginia,"Public, less-than 2-year",No,0,,,,,,0,19,0,,,0,,,,0,19,
237880,West Virginia School of Osteopathic Medicine,2019,West Virginia,"Public, 4-year or above",No,0,0,0,0,207,0,0,0,0,0,0,0,0,0,207,0,0,0
409537,Pike County Joint Vocational School District,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,45,0,0,,,0,,,,45,0,
161800,Award Beauty School,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,72,0,,,0,,,,0,72,
488013,Garden State Science and Technology Institute,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,64,0,0,,,0,,,,64,0,
201371,Bluffton University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,162,32,0,0,0,0,0,0,10,0,0,162,32,0,0,0,10
450395,Brown Aveda Institute-Strongsville,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,52,29,4,,,0,,,,52,33,
489399,Harris School of Business-Danbury,2019,Connecticut,"Private for-profit, less-than 2-year",No,,,,,,,,,,,,,,,,,,
184180,County College of Morris,2019,New Jersey,"Public, 2-year",No,1268,,,,,,126,1,0,,,1258,,,,84,1,
206394,The North Coast College,2019,Ohio,"Private for-profit, 4-year or above",No,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0
451468,Aveda Fredric's Institute-Cincinnati,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,41,119,0,,,0,,,,41,119,
444051,Creative Images Institute of Cosmetology-South Dayton,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,33,46,0,,,0,,,,33,46,
163754,Robert Paul Academy of Cosmetology Arts & Sciences,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,4,28,0,,,0,,,,4,28,
217235,Johnson & Wales University-Providence,2019,Rhode Island,"Private not-for-profit, 4-year or above",No,518,1570,378,14,0,0,0,2,0,0,14,515,1551,378,14,0,2,14
164845,Empire Beauty School-Boston,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,80,0,,,0,,,,0,80,
164988,Boston University,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,4520,5566,491,628,0,42,345,21,15,67,0,4411,5495,1118,42,358,82
203845,Marietta College,2019,Ohio,"Private not-for-profit, 4-year or above",No,1,197,38,0,0,0,0,0,0,0,0,1,193,38,0,0,0,0
182953,Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,24,34,0,,,0,,,,24,34,
436836,University of Connecticut-Stamford,2019,Connecticut,"Public, 4-year or above",No,0,57,19,4,4,0,0,0,0,4,1,0,55,19,7,0,0,4
430403,Prism Career Institute-West Atlantic City,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,29,97,0,,,0,,,,29,97,
203085,Heidelberg University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,209,51,0,0,0,0,0,0,0,0,0,209,51,0,0,0,0
232867,New River Community College,2019,Virginia,"Public, 2-year",No,426,,,,,,99,115,5,,,408,,,,86,120,
184427,Lincoln Technical Institute-South Plainfield,2019,New Jersey,"Private for-profit, 2-year",No,0,,,,,,71,86,42,,,0,,,,71,128,
457341,International Institute of Cosmetology,2019,Connecticut,"Private for-profit, less-than 2-year",No,0,,,,,,10,88,0,,,0,,,,10,88,
232195,Germanna Community College,2019,Virginia,"Public, 2-year",No,878,,,,,,263,653,0,,,874,,,,253,651,
183248,St Joseph School of Nursing,2019,New Hampshire,"Private not-for-profit, 2-year",No,57,,,,,,0,0,0,,,57,,,,0,0,
237242,Cabell County Career Technology Center,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,0,48,0,,,0,,,,0,48,
375373,Knox County Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,238,53,0,,,0,,,,238,53,
161253,University of Maine,2019,Maine,"Public, 4-year or above",No,0,1614,353,69,0,0,0,0,0,52,10,0,1596,352,69,0,0,62
204194,Mount Vernon Nazarene University,2019,Ohio,"Private not-for-profit, 4-year or above",No,15,342,157,0,0,0,0,0,0,0,0,15,342,157,0,0,0,0
168342,Williams College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,511,38,0,0,0,0,0,0,0,0,0,511,38,0,0,0,0
237543,Mercer County Technical Education Center,2019,West Virginia,"Public, 2-year",No,0,,,,,,7,36,8,,,0,,,,7,44,
131399,University of the District of Columbia,2019,District of Columbia,"Public, 4-year or above",Yes,195,386,133,0,0,0,0,0,0,2,0,195,386,133,0,0,0,2
459107,Bryant & Stratton College-Hampton,2019,Virginia,"Private for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
430218,Empire Beauty School-Bordentown,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,0,46,0,,,0,,,,0,46,
492731,Innovate Salon Academy,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,35,26,0,,,0,,,,35,26,
203447,Kent State University at Ashtabula,2019,Ohio,"Public, 4-year or above",No,329,30,0,0,0,0,6,0,0,0,0,325,30,0,0,6,0,0
164872,Boston Architectural College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,40,104,0,0,0,20,0,0,0,0,0,40,104,0,20,0,0
161527,Spa Tech Institute-Westbrook,2019,Maine,"Private for-profit, less-than 2-year",No,0,,,,,,155,58,0,,,0,,,,155,58,
418269,Ohio Media School-Cincinnati,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,148,0,0,,,0,,,,142,0,
184506,Empire Beauty School-Union,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,4,52,0,,,0,,,,4,52,
161208,The Landing School,2019,Maine,"Private not-for-profit, 2-year",No,12,,,,,,0,41,0,,,12,,,,0,41,
168218,Wellesley College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,577,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0
484057,Jupiter Beauty Academy,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,316,12,0,,,0,,,,316,12,
183062,Keene State College,2019,New Hampshire,"Public, 4-year or above",No,0,801,46,0,0,0,0,0,0,0,2,0,759,46,0,0,0,2
184816,Empire Beauty School-Cherry Hill,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,2,35,0,,,0,,,,2,35,
368647,Mineral County Vocational Technical Center,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,0,19,0,,,0,,,,0,19,
203368,John Carroll University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,735,193,0,0,0,0,0,0,0,11,0,735,193,0,0,0,11
482963,American Institute-Toms River,2019,New Jersey,"Private for-profit, 2-year",No,0,,,,,,17,138,13,,,0,,,,17,151,
234076,University of Virginia-Main Campus,2019,Virginia,"Public, 4-year or above",No,0,4148,2085,343,431,0,4,25,0,290,7,0,4148,2070,774,4,25,297
238005,International Beauty School 4,2019,West Virginia,"Private for-profit, 2-year",No,0,,,,,,26,13,16,,,0,,,,26,29,
249566,TDDS Technical Institute,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,237,29,0,,,0,,,,237,29,
373678,New England Hair Academy,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,22,115,0,,,0,,,,22,115,
411754,Cleveland Clinic Health System-School of Diagnostic Imaging,2019,Ohio,"Private not-for-profit, 2-year",No,0,,,,,,0,0,18,,,0,,,,0,18,
