unitid,institution name,year,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Historically Black College or University,DRVC2019.Associate's degree,DRVC2019.Bachelor's degree,DRVC2019.Master's degree,DRVC2019.Doctor's degree - research/scholarship,DRVC2019.Doctor's degree - professional practice,DRVC2019.Doctor's degree - other,DRVC2019.Certificates of less than 1-year,DRVC2019.Certificates of 1 but less than 2-years,DRVC2019.Certificates of 2 but less than 4-years,DRVC2019.Postbaccalaureate certificates,DRVC2019.Post-master's certificates,DRVC2019.Number of students receiving an Associate's degree,DRVC2019.Number of students receiving a Bachelor's degree,DRVC2019.Number of students receiving a Master's degree,DRVC2019.Number of students receiving a Doctor's degree,DRVC2019.Number of students receiving a certificate of less than 1-year,DRVC2019.Number of students receiving a certificate of 1 but less than 4-years,DRVC2019.Number of students receiving a Postbaccalaureate or Post-master's certificate
203678,James A Rhodes State College,2019,Ohio,"Public, 2-year",No,372,,,,,,103,34,0,,,359,,,,90,32,
203881,Marion Technical College,2019,Ohio,"Public, 2-year",No,316,,,,,,0,172,0,,,282,,,,0,165,
164632,Bay Path University,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,6,260,570,0,11,0,3,0,0,18,20,6,260,570,11,3,0,38
129491,Hartford Seminary,2019,Connecticut,"Private not-for-profit, 4-year or above",No,0,0,18,0,0,5,0,0,0,27,0,0,0,18,5,0,0,25
407595,Trumbull Career & Technical Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,39,29,0,,,0,,,,39,29,
363882,Raphael's School of Beauty Culture Inc-Brunswick,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,20,9,9,,,0,,,,20,18,
492087,The Continents State University,2019,Ohio,"Private not-for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
202985,Hannah E Mullins School of Practical Nursing,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,0,49,0,,,0,,,,0,49,
377449,Centura College-Newport News,2019,Virginia,"Private for-profit, 2-year",No,65,,,,,,21,17,0,,,65,,,,21,17,
161192,Kennebec Valley Community College,2019,Maine,"Public, 2-year",No,283,,,,,,14,99,0,,,282,,,,14,99,
457916,Summit Salon Academy-Perrysburg,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,56,0,14,,,0,,,,56,14,
490300,Cutting Edge Academy,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,15,31,0,,,0,,,,15,31,
203030,Adult and Community Education-Hudson,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,0,81,0,,,0,,,,0,81,
205203,University of Rio Grande,2019,Ohio,"Private not-for-profit, 4-year or above",No,230,136,15,0,0,0,9,25,0,0,0,221,123,14,0,9,25,0
493530,Bristol School of Hair Design,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,10,18,0,,,0,,,,10,18,
184968,Holy Name Medical Center-Sister Claire Tynan School of Nursing,2019,New Jersey,"Private not-for-profit, 2-year",No,0,,,,,,0,19,58,,,0,,,,0,77,
231147,Vermont Law School,2019,Vermont,"Private not-for-profit, 4-year or above",No,0,0,95,0,114,0,0,0,0,0,11,0,0,95,114,0,0,11
204006,Miami University-Hamilton,2019,Ohio,"Public, 4-year or above",No,114,276,4,0,0,0,0,1,0,0,0,114,273,4,0,0,1,0
167464,Pope St John XXIII National Seminary,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
445869,Divine Mercy University,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,0,90,0,8,0,0,0,0,0,0,0,0,90,8,0,0,0
201548,Capital University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,600,132,0,100,0,0,0,0,20,0,0,600,132,100,0,0,20
129482,American Institute-West Hartford,2019,Connecticut,"Private for-profit, 2-year",No,0,,,,,,35,126,32,,,0,,,,35,158,
245865,Antioch University-New England,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,0,0,235,10,26,0,0,0,0,70,0,0,0,235,36,0,0,70
455965,Toni & Guy Hairdressing Academy-Cranston,2019,Rhode Island,"Private for-profit, less-than 2-year",No,0,,,,,,0,101,0,,,0,,,,0,101,
201964,Ohio Christian University,2019,Ohio,"Private not-for-profit, 4-year or above",No,274,374,173,0,0,0,0,0,0,0,0,274,374,165,0,0,0,0
131520,Howard University,2019,District of Columbia,"Private not-for-profit, 4-year or above",Yes,0,1353,280,91,405,0,0,0,6,0,27,0,1319,280,496,0,6,26
475468,Christine Valmy International School of Esthetics & Cosmetology,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,88,30,0,,,0,,,,88,30,
182722,Empire Beauty School-Somersworth,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,22,58,0,,,0,,,,22,58,
183600,Assumption College for Sisters,2019,New Jersey,"Private not-for-profit, 2-year",No,7,,,,,,0,3,0,,,7,,,,0,3,
460640,Cortiva Institute-New Jersey,2019,New Jersey,"Private for-profit, less-than 2-year",No,,,,,,,,,,,,,,,,,,
231721,Suffolk Beauty Academy,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,5,0,,,0,,,,0,5,
217518,Roger Williams University,2019,Rhode Island,"Private not-for-profit, 4-year or above",No,59,935,144,0,0,0,12,0,0,3,0,59,926,144,0,12,0,3
432524,Delaware College of Art and Design,2019,Delaware,"Private not-for-profit, 2-year",No,25,,,,,,0,0,0,,,25,,,,0,0,
202912,Good Samaritan College of Nursing and Health Science,2019,Ohio,"Private not-for-profit, 4-year or above",No,104,20,0,0,0,0,0,0,0,0,0,104,19,0,0,0,0,0
164739,Bentley University,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,993,579,6,0,0,0,0,0,56,6,0,993,564,6,0,0,60
130624,United States Coast Guard Academy,2019,Connecticut,"Public, 4-year or above",No,0,241,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0
168263,Westfield State University,2019,Massachusetts,"Public, 4-year or above",No,0,1325,184,0,0,0,0,0,0,0,0,0,1325,184,0,0,0,0
164641,Bay State College,2019,Massachusetts,"Private for-profit, 4-year or above",No,73,106,0,0,0,0,19,0,0,0,0,73,106,0,0,19,0,0
440794,Pillar College,2019,New Jersey,"Private not-for-profit, 4-year or above",No,27,56,19,0,0,0,0,0,0,0,0,27,56,19,0,0,0,0
167792,Bard College at Simon's Rock,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,96,63,0,0,0,0,0,0,0,0,0,96,63,0,0,0,0,0
204459,Toledo Public Schools Adult and Continuing Education,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,0,51,21,,,0,,,,0,67,
233301,Randolph College,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,119,7,0,0,0,0,0,0,0,0,0,119,7,0,0,0,0
162371,North American Trade Schools,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,254,160,0,,,0,,,,254,160,
162061,Capitol Technology University,2019,Maryland,"Private not-for-profit, 4-year or above",No,1,92,68,29,0,0,6,0,0,2,0,1,91,68,29,6,0,1
431266,Henrico County-Saint Marys Hospital School of Practical Nursing,2019,Virginia,"Public, less-than 2-year",No,0,,,,,,0,33,0,,,0,,,,0,33,
491765,Yeshivas Emek Hatorah,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164614,Boston Baptist College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,3,17,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0
130794,Yale University,2019,Connecticut,"Private not-for-profit, 4-year or above",No,0,1407,2530,430,305,0,0,0,6,0,111,0,1407,2271,731,0,6,105
166717,William James College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,211,0,83,0,0,0,0,14,0,0,0,211,83,0,0,14
162706,Harford Community College,2019,Maryland,"Public, 2-year",No,905,,,,,,35,39,0,,,881,,,,35,38,
203517,Kent State University at Kent,2019,Ohio,"Public, 4-year or above",No,0,5341,1542,176,117,0,83,7,0,68,40,0,5306,1523,293,83,7,104
451264,Millennium Training Institute,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,66,0,0,,,0,,,,66,0,
363077,Capri Institute of Hair Design-Clifton,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,60,59,0,,,0,,,,30,59,
233611,Southern Virginia University,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,149,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0
129756,Middlesex Community College,2019,Connecticut,"Public, 2-year",No,352,,,,,,61,3,0,,,345,,,,59,3,
418205,Career and Technology Education Centers of Licking County,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,247,91,0,,,0,,,,247,91,
204501,Oberlin College,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,665,2,0,0,0,0,0,14,0,0,0,665,2,0,0,14,0
131283,The Catholic University of America,2019,District of Columbia,"Private not-for-profit, 4-year or above",No,1,777,635,131,103,0,0,2,0,11,3,1,777,635,234,0,2,14
202888,Gerbers Akron Beauty School,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,55,13,0,,,0,,,,55,13,
167871,Southeastern Technical Institute,2019,Massachusetts,"Public, less-than 2-year",No,0,,,,,,22,53,0,,,0,,,,22,53,
165884,Benjamin Franklin Institute of Technology,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,138,21,0,0,0,0,64,0,0,0,0,138,21,0,0,64,0,0
130989,Goldey-Beacom College,2019,Delaware,"Private not-for-profit, 4-year or above",No,30,170,341,0,0,0,0,0,0,7,0,30,170,341,0,0,0,7
186016,Parisian Beauty School,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,110,184,0,,,0,,,,110,184,
439473,Bennett Career Institute,2019,District of Columbia,"Private for-profit, less-than 2-year",No,0,,,,,,11,62,0,,,0,,,,8,62,
164438,New England College of Business and Finance,2019,Massachusetts,"Private for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
431187,Bristol Technical Education Center,2019,Connecticut,"Public, less-than 2-year",No,0,,,,,,0,56,0,,,0,,,,0,56,
205841,Stark State College,2019,Ohio,"Public, 2-year",No,1139,,,,,,376,392,0,,,1021,,,,312,383,
201955,University of Cincinnati-Blue Ash College,2019,Ohio,"Public, 4-year or above",No,721,56,0,0,0,0,16,9,0,0,0,720,56,0,0,16,9,0
451255,DiGrigoli School of Cosmetology,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,37,0,,,0,,,,0,37,
232706,Marymount University,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,543,358,6,45,0,0,0,0,11,1,0,543,342,51,0,0,12
204778,Ohio State School of Cosmetology-Canal Winchester,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,8,19,16,,,0,,,,8,35,
